Geo point;GENRE;ESPECE;ADRESSE;IDBASE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;IDEMPLACEMENT;CIRCONFERENCE EN CM;HAUTEUR EN M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE OU CULTIVAR;DATEPLANTATION;REMARQUABLE;OBJECTID;LIBELLEFRANCAIS
48.8940926568,2.32633191622;Aesculus;pavia;SQUARE DES EPINETTES;134203.0;Arbre;Jardin;PARIS 17E ARRDT;17-avr;;125;284.0;20.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;195245;Marronnier
48.8625497049,2.23789840571;Zelkova;carpinifolia;MOULIN DE LONGCHAMP - ROUTE DES TRIBUNES;2002344.0;Arbre;Jardin;BOIS DE BOULOGNE;16-juin;;601001;321.0;16.0;M;Inconnue;;1896-01-01T01:09:21+01:00;1;216492;Orme de SibÃ©rie
48.8639651868,2.25134968355;Pinus;nigra;JARDIN DU PRE CATELAN - CARREFOUR DE LA GRANDE CASCADE / CARREFOUR DE LA CROIX CATELAN;2002395.0;Arbre;Jardin;BOIS DE BOULOGNE;16-16;;501001;330.0;27.0;A;Inconnue;;2000-01-01T02:00:00+01:00;1;44057;Pin
48.8241339366,2.33796569737;Platanus;x hispanica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;112897.0;Arbre;Jardin;PARIS 14E ARRDT;Talus du Lac;;0417B1018;370.0;25.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;6590;Platane
48.8716811488,2.24923265275;Araucaria;araucana;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;2002353.0;Arbre;Jardin;BOIS DE BOULOGNE;16-23;;701003;182.0;11.0;A;Inconnue;;1907-01-01T01:09:21+01:00;1;19970;Araucaria
48.8740821646,2.25916497406;Catalpa;bignonioides;TIR AU PIGEON / 32 ROUTE DE L ETOILE;2009236.0;Arbre;Jardin;BOIS DE BOULOGNE;16-62;;1301001;397.0;14.0;M;Inconnue;;1910-01-01T01:09:21+01:00;1;116935;Catalpa
48.8678069026,2.38883414897;Prunus;dulcis;CENTRE D''ANIMATION LES AMANDIERS / 110 RUE DES AMANDIERS;2013640.0;Arbre;DAC;PARIS 20E ARRDT;;;1;240.0;9.0;M;Inconnue;;2000-01-01T02:00:00+01:00;1;153431;Amandier
48.8814687366,2.38368012582;Sophora;japonica;PARC DES BUTTES CHAUMONT;101752.0;Arbre;Jardin;PARIS 19E ARRDT;19-juin;;I1090024;408.0;12.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;179922;Sophora
48.8597425245,2.39998313637;Aesculus;hippocastanum;CIMETIERE DU PERE LACHAISE / DIV 76;147672.0;Arbre;CIMETIERE;PARIS 20E ARRDT;20-15;;D00000076032;347.0;22.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;193073;Marronnier
48.8227147039,2.33868841423;Platanus;x hispanica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;113547.0;Arbre;Jardin;PARIS 14E ARRDT;Plateau Baigneuses;;0420A1001;604.0;30.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;218135;Platane
48.8618538525,2.37908776833;Corylus;colurna;SQUARE MAURICE GARDETTE / 8 RUE GENERAL BLAISE;124914.0;Arbre;Jardin;PARIS 11E ARRDT;11-janv;;201002;250.0;21.0;M;Inconnue;;1882-01-01T01:02:49+00:53;1;224045;Noisetier de Byzance
48.847146744,2.25198353717;Pterocarya;stenoptera;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;136310.0;Arbre;Jardin;PARIS 16E ARRDT;;;40026;540.0;30.0;M;Inconnue;;1905-01-01T01:09:21+01:00;1;224744;Pterocarya
48.8320775848,2.41181713566;Taxus;baccata;ILE DE BERCY / LAC DAUMESNIL;2002362.0;Arbre;Jardin;BOIS DE VINCENNES;12-août;;12-août;101.0;5.0;A;Inconnue;;1870-01-01T01:02:49+00:53;1;30762;If
48.893355459,2.34682048372;Toona;sinensis;SQUARE KRIEGEL - VALRIMONT;120016.0;Arbre;Jardin;PARIS 18E ARRDT;18-août;;9;238.0;17.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;52693;Cedrele
48.8731110898,2.24886478886;Fagus;sylvatica;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;2002354.0;Arbre;Jardin;BOIS DE BOULOGNE;16-17;;701004;231.0;16.0;M;Inconnue;''Pendula'';1868-01-01T01:02:49+00:53;1;58649;HÃªtre
48.8671184424,2.25294211329;Platanus;x hispanica;ROUTE DU LAC A BAGATELLE;2002389.0;Arbre;Jardin;BOIS DE BOULOGNE;16-oct;;1201001;534.0;45.0;M;Inconnue;;1872-01-01T01:02:49+00:53;1;62700;Platane
48.8448875264,2.35366916319;Fagus;sylvatica;SQUARE DES ARENES DE LUTECE;132669.0;Arbre;Jardin;PARIS 5E ARRDT;;;75;85.0;3.0;M;Inconnue;''Tortuosa'';1905-01-01T01:09:21+01:00;1;67088;HÃªtre
48.8614740968,2.35437470573;Aesculus;hippocastanum;JARDIN ANNE FRANCK / 14 IMPASSE BERTHAUD;134435.0;Arbre;Jardin;PARIS 3E ARRDT;;;1;72.0;8.0;J;Inconnue;;2006-01-01T02:00:00+01:00;1;74398;Marronnier
48.8600333815,2.26913461956;Pterocarya;fraxinifolia;JARDIN DU RANELAGH;136794.0;Arbre;Jardin;PARIS 16E ARRDT;16-40;;40084;449.0;28.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;80253;Pterocarya
48.845904263,2.25302676408;Pistacia;terebinthus;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;113571.0;Arbre;Jardin;PARIS 16E ARRDT;;;60050;170.0;10.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;95532;Pistachier
48.8691331657,2.27224829769;Gymnocladus;dioica;SQUARE ROBERT SCHUMAN;139108.0;Arbre;Jardin;PARIS 16E ARRDT;16-42;;7;185.0;12.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;99870;Chicot du Canada
48.8564741998,2.39461847904;Platanus;x hispanica;BOULEVARD DE CHARONNE;223748.0;Arbre;Alignement;PARIS 20E ARRDT;148;;1802036;407.0;23.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;110168;Platane
48.8493165016,2.34518635839;Platanus;orientalis;SQUARE MICHEL-FOUCAULT / 43Q RUE DES ECOLES;132543.0;Arbre;Jardin;PARIS 5E ARRDT;;;2;450.0;24.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;281;Platane
